System,Mass1,Error,Mass2,Error,Radius1,Error,Radius2,Error,SOURCE:https://www.astro.keele.ac.uk/jkt/debcat/
V390 Sgr,27.27,0.5,19.01,0.44,8.088,0.08,6.125,0.06,
V46 Vel,25.3,0,8.25,0.17,9.99,0,3.49,0.03,
CC Cas,23.49,0.9,9.95,0.34,10.87,0.1,6.84,0.18,
EM Car,22.89,0.3,21.43,0.33,9.35,0.1,8.34,0.14,
δ Cir,20,0.5,11.41,0.24,9.256,0.09,5.326,0.091,
DN Cas,19.04,0,13.73,0.05,7.22,0,5.79,0.06,
V129 Sco,18.64,0.4,7.7,0.12,9.4,0.1,3.69,0.06,
Y Cyg,17.72,0.3,17.73,0.3,5.785,0.09,5.816,0.063,
V103 Sco,17.01,0.1,9.573,0.053,7.513,0.07,4.328,0.051,
AH Cep,16.14,0.2,13.69,0.21,6.51,0.1,5.64,0.11,
GL Car,15.86,0.3,14.95,0.3,5.242,0.04,4.968,0.051,
V47 Cyg,15.4,0.3,15.02,0.35,7.26,0,7.15,0.09,
V57 Car,15.11,0.1,12.37,0.1,5.429,0.04,4.528,0.049,
V57 Mon,14.54,0,10.29,0.06,5.41,0,4.29,0.05,
V45 Cyg,13.96,0.2,11.1,0.18,8.665,0.05,5.25,0.056,
OGLE-LMC-ECL-22270,13.21,0,14.44,0.14,8.48,0.1,12.95,0.05,
CW Cep,13,0,11.94,0.08,5.45,0,5.09,0.06,
V34 Cen,11.74,0.1,8.359,0.089,8.278,0.07,4.123,0.072,
VV Ori,11.56,0.1,4.81,0.06,5.11,0,2.51,0.02,
V38 Cyg,11.43,0.1,7,0.14,15.71,0.1,3.819,0.048,
DW Car,11.34,0.1,10.63,0.14,4.558,0.04,4.297,0.055,
QX Car,9.267,0.12,8.48,0.122,4.289,0.09,4.051,0.091,
V138 Ori,7.237,0.07,5.028,0.038,5.301,0.07,3.144,0.056,
V43 Per,6.88,0.03,7.348,0.039,3.415,0.04,3.745,0.027,
V53 Ara,6.239,0.06,5.313,0.06,4.551,0.01,3.575,0.035,
CV Vel,6.067,0.01,5.952,0.011,4.08,0,3.94,0.03,
DI Her,5.185,0.1,4.534,0.066,2.68,0.04,2.477,0.045,
U Oph,5.09,0,4.58,0.05,3.44,0,3.05,0.01,
EP Cru,5.02,0.1,4.83,0.13,3.59,0.03,3.495,0.034,
V76 Sco,4.98,0.09,4.62,0.073,3.013,0.06,2.64,0.053,
ASAS J180057-2333.8,4.914,0.02,4.875,0.021,52.12,1.3,67.63,1.4,
MU Cas,4.57,0,4.66,0.1,3.67,0,4.19,0.05,
OGLE SMC108. 14904,4.416,0.04,4.429,0.037,46.95,0.5,64.05,0.5,
OGLE-LMC-ECL-06575,4.167,0.02,3.989,0.026,43.93,0.4,46.75,0.43,
OGLE-LMC-CEP-00227,4.15,0,4.06,0.03,34.87,0.1,44.79,0.14,
GG Lup,4.116,0.04,2.509,0.024,2.379,0.02,1.725,0.019,
OGLE-LMC-ECL-13360,3.95,0.02,4.06,0.024,30.46,0.3,39.46,0.35,
ζ Phe,3.908,0.05,2.536,0.031,2.835,0.01,1.885,0.011,
OGLE-SMC-ECL-3678,3.83,0,3.73,0.01,31.2,0,42.6,0.4,
OGLE-LMC-CEP-01812,3.76,0,2.62,0.02,17.85,0.1,11.83,0.08,
V41 Ser,3.68,0,3.36,0.04,3.21,0,2.93,0.05,
χ Hya,3.613,0.07,2.638,0.05,4.384,0.03,2.165,0.043,
OGLE-LMC-CEP-04506,3.61,0,3.52,0.03,28.5,0,26.4,0.2,
OGLE-LMC-SC9-230659,3.598,0.03,3.429,0.03,32.83,0.2,23.4,0.31,
OGLE-LMC-ECL26122,3.593,0.05,3.411,0.047,32.71,0.5,22.99,0.48,
OGLE-LMC-ECL-01866,3.56,0.02,3.55,0.031,26.79,0.5,47.11,0.5,
IQ Per,3.521,0.06,1.737,0.031,2.446,0.02,1.503,0.017,
OGLE SMC113. 4007,3.504,0.02,3.561,0.025,45.8,0,48.4,0.7,
OGLE-LMC-ECL-10567,3.333,0.02,3.184,0.026,24.6,0.2,36.64,0.25,
OGLE-LMC-ECL-09114,3.304,0.02,3.205,0.025,26.33,0.3,18.79,0.37,
V90 Sco,3.253,0.06,3.378,0.071,3.515,0.03,4.521,0.035,
ψ Cen,3.187,0.03,1.961,0.015,3.814,0,1.896,0.004,
α Dra,3.186,0.04,2.431,0.019,4.932,0.03,2.326,0.052,
V41 Pup,3.155,0.05,1.751,0.039,2.781,0.03,1.39,0.042,
OGLE-LMC-ECL-21873,2.984,0.02,3.093,0.024,20.26,0.2,24.67,0.24,
OGLE-LMC-ECL-09660,2.981,0.01,2.997,0.012,23.66,0.2,44.4,0.26,
OGLE-LMC-ECL-18836,2.858,0.03,2.784,0.036,15.95,0.2,30.87,0.33,
OGLE-LMC-ECL-13529,2.857,0.01,2.81,0.016,17.03,0.2,15.98,0.22,
V34 And,2.81,0,2.69,0.04,2.42,0,2.34,0.03,
V40 Lac,2.8,0,2.78,0.05,2.38,0,2.36,0.03,
V45 Oph,2.776,0.06,2.356,0.052,2.64,0.03,2.028,0.028,
PV Cas,2.76,0,2.81,0.05,2.256,0.01,2.297,0.021,
OGLE-LMC-ECL-24887,2.747,0.04,2.976,0.045,16.43,0.2,17.83,0.3,
OGLE-SMC-ECL-1421,2.72,0,2.85,0.02,17.7,0,23.8,0.2,
OGLE-LMC-ECL-05430,2.717,0.01,3.374,0.018,28.99,0.3,34.64,0.28,
OGLE-SMC-ECL-0727,2.68,0,2.57,0.04,14.6,0,20.4,0.3,
HD 96609,2.66,0,1.84,0.01,2.74,0,1.697,0.005,
V408 Sgr,2.584,0.01,1.607,0.008,3.964,0.02,1.605,0.007,
OGLE-SMC-ECL-1859,2.58,0,2.48,0.02,16.2,0,18.7,0.3,
OGLE-SMC-ECL-2876,2.56,0,2.51,0.03,16.5,0,17.3,0.4,
AR Aur,2.544,0,2.358,0.008,1.799,0.01,1.834,0.019,
WX Cep,2.539,0.05,2.329,0.045,3.994,0.03,2.711,0.023,
TZ Men,2.487,0.02,1.504,0.01,2.016,0.02,1.432,0.015,
V103 Ori,2.473,0.01,2.286,0.016,4.321,0.03,2.977,0.064,
OGLE-SMC-ECL-2761,2.44,0,2.38,0.03,17.3,0,17.5,0.4,
OGLE-LMC-ECL-09678,2.4,0.02,2.549,0.031,13.77,0.1,30.6,0.28,
V39 Cas,2.398,0.02,1.901,0.016,2.592,0.01,1.779,0.01,
β Aur,2.376,0.02,2.291,0.027,2.762,0.01,2.568,0.017,
OGLE-SMC-ECL-3529,2.36,0,2.48,0.05,12.6,0,21.1,0.3,
GG Ori,2.342,0.01,2.338,0.017,1.852,0.02,1.83,0.025,
V54 Cyg,2.335,0.01,2.26,0.015,1.859,0.01,1.808,0.014,
V36 Lac,2.333,0.01,2.296,0.025,3.307,0.03,2.985,0.035,
SZ Cen,2.317,0.02,2.277,0.021,4.554,0.03,3.624,0.026,
V62 Her,2.282,0.01,1.881,0.013,3.03,0.03,2.209,0.034,
V122 Tau,2.273,0.01,1.595,0.008,1.799,0.01,1.41,0.021,
OGLE-SMC-ECL-0439,2.27,0,2.29,0.03,14.5,0,15.4,0.5,
YZ Cas,2.263,0.01,1.325,0.007,2.525,0.01,1.331,0.006,
OT And,2.253,0.01,2.147,0.011,3.167,0.01,2.649,0.015,
CoRoT 105906206,2.25,0,1.29,0.03,4.24,0,1.34,0.01,
SW CMa,2.239,0.01,2.104,0.018,3.014,0.02,2.495,0.042,
OGLE-LMC-ECL-25658,2.231,0.02,2.23,0.023,21.4,0.1,27.61,0.19,
GZ CMa,2.206,0.01,2.005,0.018,2.492,0.03,2.131,0.037,
EG Ser,2.2,0,1.99,0.05,1.761,0.01,1.634,0.013,
PT Vel,2.198,0.01,1.626,0.009,2.094,0.02,1.559,0.02,
V164 Sgr,2.189,0.03,1.972,0.033,1.831,0.01,1.666,0.017,
KIC 9246715,2.1869,0.003,2.1598,0.0032,8.49,0.1,8.2,0.09,
FT Ori,2.182,0.02,1.783,0.02,1.86,0.01,1.616,0.013,
V88 Aql,2.17,0,2.13,0.02,1.87,0,1.85,0.04,
EE Peg,2.151,0.02,1.332,0.011,2.09,0.02,1.312,0.013,
V33 Ser,2.147,0.01,1.906,0.008,2.03,0,1.73,0.04,
V59 Pup,2.101,0.02,2.099,0.019,2.167,0.02,2.167,0.02,
TZ For,2.057,0,1.958,0.001,8.34,0.1,3.97,0.08,
TV Nor,2.053,0.02,1.665,0.018,1.839,0.01,1.55,0.014,
